,Year,Country of Origin (ISO),Country of Origin,Country of Resettlement (ISO),Country of Resettlement,Female 0-17,Female 18-59,Female 60+,Female Total,Male 0-17,Male 18-59,Male 60+,Male Total,Grand Total
168,2018,SDN,Sudan,ISL,Iceland,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0
169,2018,SDN,Sudan,CHE,Switzerland,0.0,1.0,0.0,1.0,3.0,1.0,0.0,4.0,5.0
170,2018,MMR,Myanmar,NZL,New Zealand,29.0,18.0,1.0,48.0,21.0,9.0,1.0,31.0,79.0
171,2018,All others,All others,BRA,Brazil,1.0,1.0,0.0,2.0,0.0,4.0,0.0,4.0,6.0
172,2018,SYR,Syrian Arab Rep.,AUS,Australia,15.0,10.0,1.0,26.0,21.0,11.0,1.0,33.0,59.0
173,2018,SYR,Syrian Arab Rep.,LTU,Lithuania,6.0,2.0,0.0,8.0,3.0,2.0,0.0,5.0,13.0
174,2018,ERI,Eritrea,GBR,United Kingdom of Great Britain and Northern Ireland,46.0,41.0,2.0,89.0,61.0,20.0,2.0,83.0,175.0
175,2018,ERI,Eritrea,CAN,Canada,27.0,58.0,3.0,88.0,24.0,107.0,3.0,134.0,249.0
176,2018,SDN,Sudan,NLD,Netherlands,31.0,27.0,1.0,59.0,31.0,28.0,0.0,59.0,118.0
177,2018,MMR,Myanmar,SWE,Sweden,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
178,2018,All others,All others,ESP,Spain,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0
179,2018,IRQ,Iraq,FRA,France,2.0,7.0,0.0,9.0,2.0,6.0,0.0,8.0,17.0
180,2018,ERI,Eritrea,CHE,Switzerland,2.0,39.0,1.0,42.0,9.0,12.0,0.0,21.0,69.0
181,2018,SDN,Sudan,NOR,Norway,30.0,31.0,2.0,63.0,38.0,27.0,0.0,65.0,128.0
182,2018,MMR,Myanmar,USA,United States of America,543.0,449.0,11.0,1003.0,661.0,493.0,8.0,1162.0,2165.0
183,2018,All others,All others,GBR,United Kingdom of Great Britain and Northern Ireland,88.0,116.0,10.0,214.0,112.0,91.0,3.0,206.0,421.0
184,2018,COD,Dem. Rep. of the Congo,FRA,France,6.0,3.0,0.0,9.0,7.0,3.0,0.0,10.0,19.0
185,2018,AFG,Afghanistan,NLD,Netherlands,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
186,2018,SYR,Syrian Arab Rep.,SWE,Sweden,525.0,464.0,44.0,1033.0,638.0,456.0,24.0,1118.0,2151.0
187,2018,SYR,Syrian Arab Rep.,NLD,Netherlands,546.0,535.0,23.0,1104.0,675.0,572.0,32.0,1279.0,2383.0
188,2018,SOM,Somalia,CAN,Canada,563.0,506.0,17.0,1086.0,615.0,406.0,20.0,1041.0,2130.0
