Year,Country of Origin (ISO),Country of Origin,Country of Resettlement (ISO),Country of Resettlement,Female 0-17,Female 18-59,Female 60+,Female (unknown age),Female Total,Male 0-17,Male 18-59,Male 60+,Male (unknown age),Male Total,Other/Unknown,Grand Total
2019,SOM,Somalia,SWE,Sweden,192,167,7,0,366,186,98,2,0,286,0,652
2019,SDN,Sudan,PRT,Portugal,12,8,0,0,20,7,6,1,0,14,0,34
2019,MMR,Myanmar,JPN,Japan,7,16,0,0,23,6,6,0,0,12,0,35
2019,All others,All others,URY,Uruguay,3,7,0,0,10,3,7,0,0,10,0,20
2019,COD,Dem. Rep. of the Congo,AUS,Australia,722,580,32,6,1340,755,565,26,0,1346,0,2686
2019,SOM,Somalia,USA,United States of America,61,20,1,0,82,60,12,1,0,73,0,155
2019,ERI,Eritrea,FIN,Finland,1,15,0,0,16,2,58,0,0,60,1,77
2019,SDN,Sudan,CAN,Canada,116,130,2,0,248,134,183,7,0,324,0,572
2019,SYR,Syrian Arab Rep.,ARG,Argentina,2,0,0,0,2,3,0,0,0,3,0,5
2019,SYR,Syrian Arab Rep.,ITA,Italy,114,84,3,0,201,119,88,2,0,209,0,410
2019,IRQ,Iraq,DEU,Germany,11,24,4,0,39,21,21,3,0,45,0,84
2019,ERI,Eritrea,FRA,France,8,27,0,0,35,13,138,0,0,151,0,186
2019,SDN,Sudan,CHE,Switzerland,0,0,0,0,0,3,0,0,0,3,0,3
2019,MMR,Myanmar,NZL,New Zealand,33,24,0,0,57,28,19,1,0,48,0,105
2019,All others,All others,DEU,Germany,73,63,7,0,143,71,34,1,0,106,0,249
2019,SYR,Syrian Arab Rep.,AUS,Australia,80,63,4,0,147,93,60,3,0,156,0,303
2019,IRQ,Iraq,FIN,Finland,0,0,0,0,0,0,3,0,0,3,0,3
2019,ERI,Eritrea,GBR,United Kingdom of Great Britain and Northern Ireland,14,30,0,0,44,16,19,0,0,35,0,79
2019,ERI,Eritrea,CAN,Canada,45,91,2,0,138,50,113,2,0,165,0,303
2019,SDN,Sudan,NLD,Netherlands,56,53,1,0,110,47,36,1,0,84,0,194
2019,MMR,Myanmar,SWE,Sweden,1,1,0,0,2,1,1,0,0,2,0,4
2020,AFG,Afghanistan,USA,United States of America,4,4,0,0,8,11,1,0,0,12,0,20
2020,AFG,Afghanistan,ISL,Iceland,6,8,0,0,14,7,3,0,0,10,0,24
2020,SYR,Syrian Arab Rep.,ROU,Romania,12,7,0,0,19,18,9,0,0,27,0,46
2020,SOM,Somalia,FRA,France,2,4,0,0,6,3,5,0,0,8,0,14
2020,SYR,Syrian Arab Rep.,GBR,United Kingdom of Great Britain and Northern Ireland,126,193,10,0,329,185,177,11,0,373,0,702
2020,SOM,Somalia,AUS,Australia,8,1,0,0,9,10,1,0,0,11,0,20
2020,SYR,Syrian Arab Rep.,DEU,Germany,276,225,11,0,512,323,202,7,0,532,0,1044
2020,IRN,Iran (Islamic Rep. of),USA,United States of America,1,0,0,0,1,2,0,0,0,2,0,3
2020,MMR,Myanmar,CAN,Canada,11,25,1,0,37,20,28,0,0,48,0,85
2020,All others,All others,URY,Uruguay,0,0,0,0,0,0,0,0,0,0,0,0
2020,SOM,Somalia,GBR,United Kingdom of Great Britain and Northern Ireland,22,34,2,0,58,22,26,2,0,50,0,108
2020,IRQ,Iraq,GBR,United Kingdom of Great Britain and Northern Ireland,0,0,0,0,0,2,0,0,0,2,0,2
2020,IRQ,Iraq,AUS,Australia,58,101,12,0,171,74,95,6,0,175,0,346
2020,AFG,Afghanistan,NOR,Norway,1,1,0,0,2,2,0,0,0,2,0,4
2020,AFG,Afghanistan,CHE,Switzerland,14,10,1,0,25,10,5,1,0,16,0,41
2020,ERI,Eritrea,NLD,Netherlands,9,11,0,0,20,9,10,0,0,19,0,39
2020,All others,All others,BRA,Brazil,0,0,0,0,0,0,0,0,0,0,0,0
2020,AFG,Afghanistan,NZL,New Zealand,22,37,0,0,59,44,23,1,0,68,0,127
